temperature	v_out
1.150000000000000e+02	2.518368e+00
1.250000000000000e+02	2.501552e+00
-4.500000000000000e+01	2.503701e+00
-2.500000000000000e+01	2.481290e+00
-5.000000000000000e+00	2.522347e+00
1.500000000000000e+01	2.520945e+00
3.500000000000000e+01	2.523160e+00
5.500000000000000e+01	2.539963e+00
7.500000000000000e+01	2.504920e+00
9.500000000000000e+01	2.497096e+00
1.150000000000000e+02	2.502858e+00
1.250000000000000e+02	2.558430e+00
-4.500000000000000e+01	2.438864e+00
-2.500000000000000e+01	2.526936e+00
-5.000000000000000e+00	2.494513e+00
1.500000000000000e+01	2.558290e+00
3.500000000000000e+01	2.465434e+00
5.500000000000000e+01	2.479003e+00
7.500000000000000e+01	2.475367e+00
9.500000000000000e+01	2.470352e+00
1.150000000000000e+02	2.531963e+00
1.250000000000000e+02	2.524017e+00
-4.500000000000000e+01	2.487756e+00
-2.500000000000000e+01	2.475763e+00
-5.000000000000000e+00	2.495108e+00
1.500000000000000e+01	2.541703e+00
3.500000000000000e+01	2.515833e+00
5.500000000000000e+01	2.494879e+00
7.500000000000000e+01	2.535711e+00
9.500000000000000e+01	2.513535e+00
1.150000000000000e+02	2.494368e+00
1.250000000000000e+02	2.472611e+00
-4.500000000000000e+01	2.475444e+00
-2.500000000000000e+01	2.461426e+00
-5.000000000000000e+00	2.521399e+00
1.500000000000000e+01	2.460685e+00
3.500000000000000e+01	2.419115e+00
5.500000000000000e+01	2.478827e+00
7.500000000000000e+01	2.475660e+00
9.500000000000000e+01	2.525382e+00
1.150000000000000e+02	2.464385e+00
1.250000000000000e+02	2.517932e+00
-4.500000000000000e+01	2.468358e+00
-2.500000000000000e+01	2.466208e+00
-5.000000000000000e+00	2.470482e+00
1.500000000000000e+01	2.500507e+00
3.500000000000000e+01	2.499406e+00
5.500000000000000e+01	2.466335e+00
7.500000000000000e+01	2.503527e+00
9.500000000000000e+01	2.522722e+00
1.150000000000000e+02	2.476854e+00
1.250000000000000e+02	2.505093e+00
-4.500000000000000e+01	2.490749e+00
-2.500000000000000e+01	2.484654e+00
-5.000000000000000e+00	2.512794e+00
1.500000000000000e+01	2.517499e+00
3.500000000000000e+01	2.540207e+00
5.500000000000000e+01	2.522724e+00
7.500000000000000e+01	2.451339e+00
